Title,Media URL,Destination Link,Description,Pinterest board
Cuba - Summer 2026 - 35mm Film Photography #72,https://sjkonfilm.work/assets/images/vertical/full/000000020036.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #72. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
"Bend, Oregon - Spring 2026 - 35mm Film Photography #3",https://sjkonfilm.work/assets/images/vertical/full/000000030024.webp,https://sjkonfilm.work/pages/vertical.html,"Bend, Oregon - Spring 2026 - 35mm Film Photography #3. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #73,https://sjkonfilm.work/assets/images/vertical/full/000000040014.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #73. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #74,https://sjkonfilm.work/assets/images/vertical/full/000000050021.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #74. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #75,https://sjkonfilm.work/assets/images/vertical/full/000000050023.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #75. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #76,https://sjkonfilm.work/assets/images/vertical/full/000000050024.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #76. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #77,https://sjkonfilm.work/assets/images/vertical/full/000000050032.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #77. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #78,https://sjkonfilm.work/assets/images/vertical/full/000000070014.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #78. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #79,https://sjkonfilm.work/assets/images/vertical/full/000000070015.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #79. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #80,https://sjkonfilm.work/assets/images/vertical/full/000000070019.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #80. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #81,https://sjkonfilm.work/assets/images/vertical/full/000000080004.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #81. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #82,https://sjkonfilm.work/assets/images/vertical/full/000000080016.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #82. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #83,https://sjkonfilm.work/assets/images/vertical/full/000000080017.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #83. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #84,https://sjkonfilm.work/assets/images/vertical/full/000000080026.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #84. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
"Bend, Oregon - Spring 2026 - 35mm Film Photography #4",https://sjkonfilm.work/assets/images/vertical/full/000000090008.webp,https://sjkonfilm.work/pages/vertical.html,"Bend, Oregon - Spring 2026 - 35mm Film Photography #4. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #85,https://sjkonfilm.work/assets/images/vertical/full/000000090016.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #85. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #86,https://sjkonfilm.work/assets/images/vertical/full/000000090021.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #86. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Cuba - Summer 2026 - 35mm Film Photography #87,https://sjkonfilm.work/assets/images/vertical/full/000000090030.webp,https://sjkonfilm.work/pages/vertical.html,"Cuba - Summer 2026 - 35mm Film Photography #87. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
Rio de Janeiro - Summer 2024 - 35mm Film Photography,https://sjkonfilm.work/assets/images/vertical/full/IMG_5758.webp,https://sjkonfilm.work/pages/vertical.html,"Rio de Janeiro - Summer 2024 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
"Seattle, Washington - Winter 2026 - 35mm Film Photography #4",https://sjkonfilm.work/assets/images/vertical/full/IMG_5781.webp,https://sjkonfilm.work/pages/vertical.html,"Seattle, Washington - Winter 2026 - 35mm Film Photography #4. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
"Seattle, Washington - Winter 2026 - 35mm Film Photography #5",https://sjkonfilm.work/assets/images/vertical/full/IMG_5782.webp,https://sjkonfilm.work/pages/vertical.html,"Seattle, Washington - Winter 2026 - 35mm Film Photography #5. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
New York City - Spring 2026 - 35mm Film Photography #28,https://sjkonfilm.work/assets/images/vertical/full/IMG_6438.webp,https://sjkonfilm.work/pages/vertical.html,"New York City - Spring 2026 - 35mm Film Photography #28. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
New York City - Spring 2026 - 35mm Film Photography #29,https://sjkonfilm.work/assets/images/vertical/full/IMG_6469.webp,https://sjkonfilm.work/pages/vertical.html,"New York City - Spring 2026 - 35mm Film Photography #29. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Vertical Film Shots & Portraits
